Country,Year,Region,BirthRate,DeathRate,LifeExpectancy,PopulationGrowth,TotalPopulation,MobileCellSubs,TelephoneLines,AgriculturalLand,RuralPopulation,RuralPopulationGrowth,SurfaceArea,UrbanPopulationPercent
Ecuador,2005,Latin America & Caribbean,23.951,4.949,74.44714634,1.859772038,13529091.0,3544174.0,1590755.0,30.30681269,5206806,1.346621837,256370.0,61.514
Australia,2005,East Asia & Pacific,12.3,6.5,80.4902439,1.159352162,20127400.0,16480000.0,10370000.0,57.28883277,2445680,-0.100085647,7741220.0,87.849
Algeria,2005,Middle East & North Africa,20.332,5.384,69.66387805,1.377903294,33461345.0,4882414.0,2486720.0,17.27518537,12360286,-0.703747491,2381740.0,63.061
Chile,2005,Latin America & Caribbean,15.328,5.101,77.95980488,1.073157557,16168241.0,9261385.0,3318260.0,21.43149185,2071637,-0.973936431,756096.0,87.187
Belize,2005,Latin America & Caribbean,27.014,5.078,71.7594878,2.558098625,265040.0,75000.0,33716.0,6.663743972,141584,3.066660288,22970.0,46.58
Sierra Leone,2005,Sub-Saharan Africa,42.249,21.17,41.33317073,4.469437673,4928175.0,278910.5,26500.0,48.35353253,3124660,4.085353178,71740.0,36.596
Denmark,2005,Europe & Central Asia,12.0,10.3,77.49268293,0.258432282,5404523.0,5166912.0,3491307.0,62.36153665,780089,-1.158641597,43090.0,85.566
Philippines,2005,East Asia & Pacific,27.855,6.038,67.35421951,1.950058081,84231329.0,32935875.0,3437491.0,38.06553309,44750420,2.461451805,300000.0,46.872
Portugal,2005,Europe & Central Asia,10.4,9.7,77.67073171,0.23912899,10483861.0,10571100.0,4238270.0,41.71584699,4517810,-1.189363605,92120.0,56.907
Morocco,2005,Middle East & North Africa,20.253,6.164,68.88063415,0.904684935,29855820.0,9336878.0,1308569.0,67.31122563,13541406,0.186313655,446550.0,54.644
Namibia,2005,Sub-Saharan Africa,29.64,11.34,54.92346341,1.108440718,2003320.0,286095.0,127935.0,47.15227927,1288816,-0.368109741,824290.0,35.666
Guinea-Bissau,2005,Sub-Saharan Africa,40.45,14.136,52.16609756,2.197700532,1390791.0,39451.0,9719.0,57.25462304,834294,0.789038715,36130.0,40.013
Kiribati,2005,East Asia & Pacific,25.387,6.532,65.94302439,1.775359011,88936.0,615.0,4300.0,41.97530864,50220,1.739453744,810.0,43.532
Switzerland,2005,Europe & Central Asia,9.9,8.1,81.08780488,0.68742596,7389625.0,6274763.0,5253450.0,38.115,1962980,0.544480556,41280.0,73.436
Grenada,2005,Latin America & Caribbean,18.796,7.98,71.17646341,0.278991909,102655.0,43313.0,32705.0,38.23529412,65737,0.353545727,340.0,35.963
Chad,2005,Sub-Saharan Africa,50.039,17.452,47.36978049,3.729196769,9665024.0,123000.0,13000.0,38.77858958,7561142,3.687033029,1284000.0,21.768
Uruguay,2005,Latin America & Caribbean,15.65,9.374,75.51326829,-0.047794987,3323822.0,599768.0,996701.0,84.21894641,230075,-3.595558182,176220.0,93.078
Equatorial Guinea,2005,Sub-Saharan Africa,38.147,16.452,48.48709756,3.019800113,585983.0,61900.0,10500.0,11.55080214,358493,2.987333483,28050.0,38.822
Djibouti,2005,Middle East & North Africa,29.085,10.067,57.66363415,1.405937308,765776.0,34482.0,11103.0,73.38222606,178303,1.208600069,23200.0,76.716
Antigua and Barbuda,2005,Latin America & Caribbean,18.992,6.506,74.22204878,1.001102924,81718.0,54000.0,38000.0,20.45454545,57336,1.899822091,440.0,29.837
Burundi,2005,Sub-Saharan Africa,43.146,14.97,49.55809756,3.336067725,7510771.0,100560.0,27744.0,90.92679128,6824362,3.082155011,27830.0,9.139
Cyprus,2005,Europe & Central Asia,12.068,6.775,78.47634146,1.755589633,1015820.0,658234.0,418365.0,16.88311688,320898,2.209345296,9250.0,68.41
Barbados,2005,Latin America & Caribbean,13.137,9.883,73.77004878,0.501244952,272205.0,200138.0,135732.0,37.20930233,182062,0.768066059,430.0,33.116
Qatar,2005,Middle East & North Africa,16.341,1.808,77.3247561,8.718263894,720383.0,490333.0,190876.0,5.56416882,20855,0.847503508,11610.0,97.105
Italy,2005,Europe & Central Asia,9.7,9.4,80.77804878,0.647182705,57685327.0,62750000.0,25957000.0,50.59835453,18678509,0.280345353,301340.0,67.62
Sudan,2005,Sub-Saharan Africa,38.121,9.662,59.52119512,2.648909496,30778572.0,1048558.0,1028899.0,56.60648148,20711824,2.570177736,2505810.0,32.707
Singapore,2005,East Asia & Pacific,10.3,4.4,79.4902439,1.253412533,4166700.0,3990700.0,1857000.0,1.161103048,0,2.219756537,699.0,100.0
Malta,2005,Middle East & North Africa,9.7,7.5,79.25365854,0.671628455,401268.0,306067.0,206529.0,31.25,26456,-3.004749589,320.0,93.407
Netherlands,2005,Europe & Central Asia,11.9,8.4,79.09512195,0.347475412,16281779.0,14800000.0,7861000.0,57.742891,3009850,-5.80466571,41530.0,81.514
Suriname,2005,Latin America & Caribbean,20.548,7.495,68.56597561,1.331705833,493394.0,212819.0,81709.0,0.496794872,164118,1.112688399,163820.0,66.737
Israel,2005,Middle East & North Africa,21.3,5.6,80.14634146,1.767623642,6809000.0,7221955.0,2896000.0,23.72920518,581761,1.033059363,22070.0,91.456
Malaysia,2005,East Asia & Pacific,19.107,4.44,73.52997561,1.888138814,25365089.0,14611000.0,4446265.0,23.95373611,8701747,-0.741245998,330800.0,65.694
Iceland,2005,Europe & Central Asia,14.5,6.2,80.99756098,0.877936158,292074.0,290068.0,190478.0,18.79301746,20696,-0.870762965,103000.0,92.914
Zambia,2005,Sub-Saharan Africa,44.456,16.788,45.765,2.538800137,11174650.0,464354.0,91719.0,30.80079097,7129874,1.890483504,752610.0,36.196
Senegal,2005,Sub-Saharan Africa,39.335,9.506,59.89929268,2.717524101,10967568.0,1121314.0,244948.0,45.37994079,6477117,2.445282014,196720.0,40.943
Papua New Guinea,2005,East Asia & Pacific,33.114,8.459,60.265,2.470546474,5948461.0,48311.0,63456.0,2.25235172,5167607,2.492427468,462840.0,13.127
Malawi,2005,Sub-Saharan Africa,42.884,15.69,48.06580488,2.663445605,12569091.0,222135.0,93000.0,52.71531608,10688252,2.558832606,118480.0,14.964
Zimbabwe,2005,Sub-Saharan Africa,32.18,17.147,43.1782439,0.157248965,12693047.0,425745.0,317000.0,41.35970014,8340093,0.439195577,390760.0,34.294
Jordan,2005,Middle East & North Africa,30.229,3.921,72.4737561,2.410677289,5290000.0,1624110.0,637811.0,11.75203989,1009914,1.001118937,88780.0,80.909
Poland,2005,Europe & Central Asia,9.3,9.5,74.84634146,-0.058512735,38182222.0,23096065.0,12553477.0,53.65428853,14675719,0.233309942,312690.0,61.564
Mauritania,2005,Sub-Saharan Africa,37.077,9.483,60.10943902,2.981673416,3055425.0,522400.0,39000.0,38.47967401,1455146,1.38814615,1030700.0,52.375
Trinidad and Tobago,2005,Latin America & Caribbean,15.054,8.485,68.90056098,0.505857743,1290379.0,651189.0,322338.0,10.72124756,1160412,0.697264669,5130.0,10.072
Hungary,2005,Europe & Central Asia,9.4,13.1,72.64878049,-0.221439379,10107146.0,8727188.0,3564000.0,65.43182325,3446941,-1.407793744,93030.0,65.896
Honduras,2005,Latin America & Caribbean,29.243,5.211,71.26790244,2.005280254,6762426.0,707201.0,387314.0,28.06327643,3524915,0.781161189,112490.0,47.875
Myanmar,2005,East Asia & Pacific,19.234,8.543,63.20543902,0.599318124,49875169.0,92452.0,424871.0,16.9599951,35663240,0.022008274,676590.0,28.495
Mexico,2005,Latin America & Caribbean,22.128,4.538,75.23656098,1.218972995,109381550.0,38451135.0,18073238.0,53.55076005,26254853,-0.084828321,1964380.0,75.997
Tunisia,2005,Middle East & North Africa,16.8,6.0,73.30243902,0.936675504,9932400.0,3735695.0,1203530.0,63.27239959,3483392,-0.039407838,163610.0,64.929
Nicaragua,2005,Latin America & Caribbean,25.719,4.9,71.48631707,1.278415554,5386299.0,738624.0,214480.0,43.25245139,2386400,0.738177105,130370.0,55.695
"Congo, Dem. Rep.",2005,Sub-Saharan Africa,46.304,17.531,47.59912195,2.928830306,52487293.0,1990722.0,10524.0,11.27015284,33066995,2.179267793,2344860.0,37.0
Comoros,2005,Sub-Saharan Africa,39.361,10.052,58.81804878,2.577918997,585389.0,8378.0,15083.0,79.52713595,422048,2.638959339,1861.0,27.903
United Kingdom,2005,Europe & Central Asia,11.9,9.7,78.74634146,0.568943113,59987905.0,59687915.0,34576487.0,70.47906419,12220136,-0.844613311,243610.0,79.629
Greece,2005,Europe & Central Asia,9.6,9.5,79.03902439,0.33890501,11055729.0,9324335.0,6352302.0,64.7090768,2866419,-1.131302771,131960.0,74.073
Paraguay,2005,Latin America & Caribbean,26.185,5.589,71.11092683,1.934237623,5793330.0,1749048.0,303425.0,49.43367732,2484064,1.401568076,406750.0,57.122
Botswana,2005,Sub-Saharan Africa,25.692,16.052,47.15543902,1.200717046,1854739.0,522840.0,131774.0,45.57020098,837582,0.683938441,581730.0,54.841
